RU-URW-1004.txt	Other	Other
RU-URW-1032.txt	Other	Other
RU-URW-1043.txt	Other	Other
RU-URW-1014.txt	URW: Praise of Russia;URW: Discrediting Ukraine	URW: Praise of Russia: Praise of Russian military might;URW: Discrediting Ukraine: Discrediting Ukrainian military
RU-URW-1053.txt	Other	Other
RU-URW-1069.txt	Other	Other
RU-URW-1023.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Speculating war outcomes;URW: Negative Consequences for the West	URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Speculating war outcomes: Other;URW: Negative Consequences for the West: Other
RU-URW-1077.txt	Other	Other
RU-URW-1073.txt	URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy	URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests
RU-URW-1089.txt	Other	Other
RU-URW-1090.txt	Other	Other
RU-URW-1061.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Russia is the Victim	URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Russia is the Victim: UA is anti-RU extremists;URW: Russia is the Victim: Other
RU-URW-1085.txt	URW: Praise of Russia;URW: Speculating war outcomes	URW: Praise of Russia: Praise of Russian military might;URW: Praise of Russia: Russian invasion has strong national support;URW: Speculating war outcomes: Other
RU-URW-1093.txt	URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian military
RU-URW-1102.txt	URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian military
RU-URW-1118.txt	URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies
RU-URW-1101.txt	URW: Discrediting Ukraine;URW: Amplifying war-related fears;URW: Speculating war outcomes;URW: Praise of Russia	URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Amplifying war-related fears: Other;URW: Speculating war outcomes: Other;URW: Praise of Russia: Other
RU-URW-1120.txt	URW: Discrediting Ukraine;URW: Hidden plots by secret schemes of powerful groups	URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Hidden plots by secret schemes of powerful groups: Other
RU-URW-1110.txt	URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Hidden plots by secret schemes of powerful groups	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Hidden plots by secret schemes of powerful groups: Other
RU-URW-1133.txt	Other	Other
RU-URW-1127.txt	URW: Hidden plots by secret schemes of powerful groups	URW: Hidden plots by secret schemes of powerful groups: Other
RU-URW-1135.txt	URW: Speculating war outcomes	Other
RU-URW-1146.txt	URW: Speculating war outcomes	URW: Speculating war outcomes: Other
RU-URW-1152.txt	URW: Speculating war outcomes;URW: Amplifying war-related fears	URW: Amplifying war-related fears: Other
RU-URW-1147.txt	URW: Russia is the Victim;URW: Amplifying war-related fears	URW: Russia is the Victim: Other;URW: Amplifying war-related fears: Other
RU-URW-1166.txt	Other	Other
RU-URW-1168.txt	URW: Praise of Russia	URW: Praise of Russia: Praise of Russian military might
RU-URW-1170.txt	URW: Speculating war outcomes;URW: Hidden plots by secret schemes of powerful groups;URW: Discrediting Ukraine	URW: Speculating war outcomes: Other;URW: Hidden plots by secret schemes of powerful groups: Other;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies
RU-URW-1139.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Praise of Russia;URW: Speculating war outcomes;URW: Discrediting the West, Diplomacy;URW: Distrust towards Media;URW: Amplifying war-related fears;URW: Negative Consequences for the West	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Praise of Russia: Praise of Russian military might;URW: Discrediting the West, Diplomacy: The West is weak;URW: Discrediting the West, Diplomacy: Other;URW: Distrust towards Media: Ukrainian media cannot be trusted;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Negative Consequences for the West: Other
RU-URW-1184.txt	Other	Other
RU-URW-1171.txt	URW: Discrediting Ukraine;URW: Hidden plots by secret schemes of powerful groups;URW: Amplifying war-related fears	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Ukraine is a hub for criminal activities;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Hidden plots by secret schemes of powerful groups: Other
RU-URW-1174.txt	URW: Speculating war outcomes;URW: Discrediting the West, Diplomacy;URW: Discrediting Ukraine;URW: Russia is the Victim	URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Speculating war outcomes: Other;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Russia is the Victim: The West is russophobic
